animal,latin_name,order,sex,LociVS,diff_LociVS,mod_diff_LociVS,midpoint_lat,mass,dichro,sexual_dichro,gen_time,survival,age_first_breed,max_lifespan,mating_system_og,mating_system_binary,paternal_care,migration
Acropternis_orthonyx,Acropternis_orthonyx,Passeriformes,F,76.4852927,1.76178705,1.76178705,2.735576317,31495.81886,0,15.72185153,3.894235927,0.752209073,1.47422322,10.4108106,NA,NA,1,0
Actinodura_egertoni,Actinodura_egertoni,Passeriformes,F,67.43065581,4.8557548,4.8557548,32.34153962,3832.824536,0,15.48539312,2.947250543,0.653927496,1.258874532,9.291527634,0,0,1,0
Actinodura_egertoni,Actinodura_egertoni,Passeriformes,M,72.28641061,4.8557548,4.8557548,32.34153962,3832.824536,0,15.48539312,2.947250543,0.653927496,1.258874532,9.291527634,0,0,1,0
Actinodura_ramsayi,Actinodura_ramsayi,Passeriformes,M,60.74813285,-4.57335142,4.57335142,26.67621115,4446.90099,0,34.31973399,3.589890562,0.716542015,1.432025249,9.921818246,NA,NA,1,0
Actinodura_ramsayi,Actinodura_ramsayi,Passeriformes,F,65.32148427,-4.57335142,4.57335142,26.67621115,4446.90099,0,34.31973399,3.589890562,0.716542015,1.432025249,9.921818246,NA,NA,1,0
Aegithalos_caudatus,Aegithalos_caudatus,Passeriformes,F,56.77411371,-4.21988403,4.21988403,55.14323561,141.8280733,0,9.295382188,2.393004781,0.4385,1,10.8,0,0,1,0
Aegithalos_caudatus,Aegithalos_caudatus,Passeriformes,M,52.55422968,-4.21988403,4.21988403,55.14323561,141.8280733,0,9.295382188,2.393004781,0.4385,1,10.8,0,0,1,0
Aegithalos_concinnus,Aegithalos_concinnus,Passeriformes,F,92.28894662,-4.56321653,4.56321653,32.93362379,64.31151952,0,10.32430598,2.393004781,0.4385,1,10.8,0,0,1,0
Aegithalos_concinnus,Aegithalos_concinnus,Passeriformes,M,87.72573009,-4.56321653,4.56321653,32.93362379,64.31151952,0,10.32430598,2.393004781,0.4385,1,10.8,0,0,1,0
Aegithalos_fuliginosus,Aegithalos_fuliginosus,Passeriformes,F,49.96530927,7.64795205,7.64795205,38.40572402,53.90828864,0,21.67606033,1.984527519,0.51055258,0.914418651,8.442796911,NA,NA,1,0
